StationName,SubdivisionName,ParentSubdivisionName,latitude,longitude,District
AKADO EAST-1,KALAKALA,ABIM TOWN COUNCIL,2.6883789,33.6441052,ABIM
KINGO-1,WILELA,ALEREK,2.645749,33.736372,ABIM
MIJARE-1,JIHWA,PACARA,3.494501,31.80551,ADJUMANI
NDELE-1,KIRABA,OKUSIJONI,3.309164,31.70288,ADJUMANI
OGOSUSU-1,OPENZIRI,ADROPI,3.330137,31.77353,ADJUMANI
PAKWINYA-1,MUNGULA,ITIRIKWA,3.099688,31.79261,ADJUMANI
RUSSIA EAST-1,MARINDI,PACARA,3.413838,31.79207,ADJUMANI
SUKARI-1,ADIDI,DZAIPI,3.270521,31.94876,ADJUMANI
SUKARI-2,ADIDI,DZAIPI,3.363103,31.95465,ADJUMANI
TINDIRI-1,MAAJI,OKUSIJONI,3.044861,31.54355,ADJUMANI
TINDIRI-2,MAAJI,OKUSIJONI,3.10388,31.55965,ADJUMANI
ZOKA FR-1,ZOKA,ITIRIKWA,3.156321,31.71645,ADJUMANI
ABERO A-1,AWONODWE,OMOT,2.619928,33.23842,AGAGO
ABICELO-1,LOJIM,OMIYA PACWA,3.234206,33.54891,AGAGO
ABONE GANGKAL-1,OMONGO,LIRA PALWO,2.836536,33.15195,AGAGO
ADAGAMONE-1,LUKEE,KOTOMOL,2.609037,33.28622,AGAGO
ALOKOLUM-1,LUTOME,LIRA PALWO,2.822433,33.23339,AGAGO
ALUMAR-1,LAKWA,OMIYA PACWA,3.227582,33.42624,AGAGO
APIL CENTRAL-1,PALUTI,WOL,3.071782,33.33905,AGAGO
APIL CENTRAL-2,PALUTI,WOL,3.031513,33.3329,AGAGO
KAGOR-1,LAMIT,WOL,3.094903,33.3147,AGAGO
ABANGAIMANY-1,ABANGAIMANY,ABIA,2.435208,33.03979,ALEBTONG
ABONGO NYEKO-1,ABUKAMOLA,OMORO,2.232408,33.30452,ALEBTONG
ABUNGURU-1,ALOLOLOLO,OMORO,2.316264,33.38238,ALEBTONG
ACELA-1,OTWEOTOKE,AKURA,2.327466,33.12808,ALEBTONG
ADUKU-1,ALAL,ALOI,2.230785,33.19467,ALEBTONG
ALABWANGI-1,ANGETTA,OMORO,2.183528,33.47058,ALEBTONG
ALAROGWEC-1,OCOKOBER,OMORO,2.269736,33.50261,ALEBTONG
ALAROGWEC-2,OCOKOBER,OMORO,2.3011,33.52522,ALEBTONG
ALEBE LEBE-1,OCULUKORI,OMORO,2.268852,33.35851,ALEBTONG
TEOBWOLO-1,OTENO,ABIA,2.385882,33.08843,ALEBTONG
ACIRIDWEE-1,BANGALADESH,NAMASALE,1.52405,32.70192,AMOLATAR
AKOPLOKEDI-1,ALOBOKWE,AGIKDAK,1.678479,32.92164,AMOLATAR
ALWALA AWIKORI-1,AWIKORI,NAMASALE,1.593712,32.65373,AMOLATAR
AMIRIMIRI-1,AMIRIMIRI,AMOLATAR TOWN COUNCIL,1.656049,32.85332,AMOLATAR
ANGICH-1,ARWOT,ETAM,1.646869,32.6831,AMOLATAR
BAR ILWA B-1,KABANGALA,MUNTU,1.601608,32.90816,AMOLATAR
FARM TRC-1,ALEMERE,AGWINGIRI,1.638417,32.78493,AMOLATAR
OBALOPI-1,ARWOTCEK,ARWOTCEK,1.723153,32.82627,AMOLATAR
OKANOKONG-1,ABURKIDI,ARWOTCEK,1.691777,32.85859,AMOLATAR
OPIR B-1,NALUBWOYO,AGWINGIRI,1.56855,32.83525,AMOLATAR
ABONGAI-1,KARITA,KARITA,1.5526633,34.8411298,AMUDAT
CHEPTAPOYO-1,LOSIDOK,KARITA,1.6681182,34.9736023,AMUDAT
OJAMAI-1,DOKOLO,ASAMUK,1.985146,33.6514393,AMURIA
OODOI-1,AKISIM,WILLA,2.1274575,33.6782061,AMURIA
ADARA LC1-1,LABALA,PABBO,2.994788,31.96692,AMURU
ADARA LC1-2,LABALA,PABBO,2.989165,31.98289,AMURU
ADARA LC1-3,LABALA,PABBO,2.980456,32.05255,AMURU
AMOYOKOMA-1,PAGAK,AMURU,2.823816,31.81183,AMURU
BIBIA EAST LC1-1,BIBIA,ATIAAK,3.455997,32.14614,AMURU
LUJORO-1,PAILYEC,AMURU,2.86578,31.63482,AMURU
LUJORO-2,PAILYEC,AMURU,2.748534,31.49519,AMURU
PACILO EAST LC1-1,PACILO,ATIAAK,3.346128,32.04605,AMURU
PALUKERE EAST LC1-1,PALUKERE,ATIAAK,3.215591,32.08512,AMURU
PALUKERE EAST LC1-2,PALUKERE,ATIAAK,3.184054,32.17746,AMURU
ABONGURWOT-1,ABEDI,APAC,2.036769,32.57411,APAC
ABONGURWOT-2,ABEDI,APAC,1.999573,32.57745,APAC
ADING DONG ADEM-1,ADEM,CHEGERE,2.072007,32.46227,APAC
ADYANGODEO-1,AMIIABERIDWOGO,IBUJE,1.914307,32.43699,APAC
AKERE-1,WESTERN,APAC TOWN COUNCIL,1.96842,32.52302,APAC
ANYAMBAZI B-1,CHEGERE,CHEGERE,2.088121,32.50918,APAC
ARWOTNYAP-1,ATIGOLWOK,CHEGERE,2.073868,32.5506,APAC
ILEE A-1,ILEE,CHEGERE,2.122972,32.5568,APAC
OYITOYAT-1,AYAGO,AKOKORO,1.842245,32.4744,APAC
WIGWENG APO-1,APOI,AKOKORO,1.721755,32.43234,APAC
ALIVU-1,NDAAPI,OMUGO,3.190919,31.18555,ARUA
EWAVA-1,YIVU,PAJULU,3.036466,30.85093,ARUA
KULA FR-1,ORIVU,UDUPI,3.304433,31.17493,ARUA
LUDIRIA-1,BURA,OMUGO,3.216541,31.09914,ARUA
NGOLONYAKO-1,OLEVU,AJIA,2.9204,31.0495,ARUA
OFFAA B-1,AYAVU,VURRA,2.838514,30.91994,ARUA
OMBAU-1,OZOO,LOGIRI,2.741334,30.85619,ARUA
OMBOKORO-1,LUVU,DADAMU,3.0417,30.99786,ARUA
OWADRI-1,AZAAPI,UDUPI,3.237403,31.18618,ARUA
YORO-1,AKINIO,URIAMA,3.09613,31.19801,ARUA
BUKOMOLO II-1,KODIRI,KACHOMO,1.1541177,33.9541332,BUDAKA
BWIKOMBA-1,SUNI,LYAMA,0.9792067,33.913512,BUDAKA
KEBULA-1,KEBULA,KADERUNA,1.1004425,33.9442235,BUDAKA
LERYA-1,LERYA,KAMERUKA,1.159408,33.9788771,BUDAKA
TADEMERI-1,TADEMERI,LYAMA,0.975861,33.9741726,BUDAKA
BUSHIMALI-1,SHITEKA,BUBIITA,0.9444198,34.46656,BUDUDA
BUSHIMALI-2,SHITEKA,BUBIITA,1.004096,34.46589,BUDUDA
BUSHINYALE-1,BURABA,BUSHINYI,1.087738,34.40408,BUDUDA
BUWANANGUTU MAIN-1,BUNANGO,NALWANZA,0.9798889,34.37359,BUDUDA
KUUSHU TRC-1,BUMAYOKA,BUMAYOKA,1.023705,34.38151,BUDUDA
LUWOBE-1,BUWANABISI,BUDUDA TOWN COUNCIL,1.016409,34.34547,BUDUDA
MASAKHANU-1,KASUNI,BUKALASI,1.00639,34.41808,BUDUDA
MT ELGON NATIONAL PARK-2,NAMIRUMBA,BUSHINYI,1.090436,34.48086,BUDUDA
NABUKOTI-1,BUKHAUKHA,BUSHIKA,1.04464,34.32577,BUDUDA
NABUSERA-1,BUNAMBATSU,NAKATSI,1.061294,34.36942,BUDUDA
RUKULU-1,ULUKUSI,BUMAYOKA,1.04527,34.43661,BUDUDA
SHIBALAYO-1,SHIBANGA,BUKALASI,1.056417,34.48058,BUDUDA
SHIBALAYO-2,SHIBANGA,BUKALASI,1.079658,34.50446,BUDUDA
SUME-1,BUKIBOKOLO,BUMASHETI,0.996835,34.2973,BUDUDA
WAKOOLI-1,NAMAKUKYE,BUMAYOKA,1.045711,34.40259,BUDUDA
BUBONGOYI-1,BUSOWA,BUWUNGA,0.6230382,33.6994925,BUGIRI
BUDHEBERO-1,KASITA,NABUKALU,0.6600336,33.73923,BUGIRI
BUKAZITO-1,NKAIZA,NABUKALU,0.6407866,33.7811035,BUGIRI
BUSWIRIRI-1,WANGOBO,NABUKALU,0.7260061,33.6695784,BUGIRI
BUSWIRIRI-2,WANGOBO,NABUKALU,0.7183296,33.6596213,BUGIRI
BUTYABULE-1,BUTYABULE,NABUKALU,0.6792192,33.7720102,BUGIRI
IRIMI NALWEGOLOIRE-1,KITUMBA,MUTERERE,0.4318246,33.7421971,BUGIRI
KASOKWE-1,NABIRERE,IWEMBA,0.6466741,33.8034995,BUGIRI
KIBUYE B-1,WAKAWAKA,BULINDHA,0.3248072,33.7201273,BUGIRI
KIWONGOL-1,LWANIKA,NABUKALU,0.6905537,33.6775826,BUGIRI
BUBINGA-1,BWIGULA,BUYANGA,0.6343259,33.64733,BUGWERI
BUWOYA B-1,BUWOOYA,BUYANGA,0.658789,33.6105,BUGWERI
NABWEYA-1,MAKANDWA,MAKUUTU,0.5214323,33.58998,BUGWERI
NAMUNYUMYA B-1,NAMUNYUMYA,NAMALEMBA,0.7467332,33.63049,BUGWERI
NAMUNYUMYA B-2,NAMUNYUMYA,NAMALEMBA,0.7362789,33.62277,BUGWERI
ISINGIRO B-1,KANKARA,BITSYA,-0.324337,30.488284,BUHWEJU
KABUTEGA-1,BITSYA,BITSYA,-0.296009,30.436342,BUHWEJU
KAGOROGORO-1,KABEGARAMIRE,NYAKISHANA,-0.3225884,30.3549853,BUHWEJU
KAJUMBURA I-1,KYAHENDA,ENGAJU,-0.3074361,30.2725154,BUHWEJU
KAJUMBURA I-2,KYAHENDA,ENGAJU,-0.2858688,30.2336303,BUHWEJU
KASHARARA I-1,KASHARARA,KARUNGU,-0.339472,30.4544613,BUHWEJU
KININGA-1,MUSHASHA,BITSYA,-0.2945704,30.4683819,BUHWEJU
KIRAMIRA-1,RUKONDO,NYAKISHANA,-0.3807246,30.3441394,BUHWEJU
KYAJURA-1,RWENGWE,RWENGWE,-0.3541887,30.3946417,BUHWEJU
MALABA-1,RUBENGYE,BURERE,-0.3554982,30.3112555,BUHWEJU
MASINDO-1,NYAKASHAKA,BURERE,-0.420013,30.3004017,BUHWEJU
NYAKISHOJWA-1,NYAKISHOJWA,RWENGWE,-0.3873012,30.4595757,BUHWEJU
OMUKASHENYI-1,NYAKITOKO,BURERE,-0.4466494,30.3468269,BUHWEJU
RUJONGA-1,KIYANJA,ENGAJU,-0.272078,30.309206,BUHWEJU
RUSHAYO B-1,RUSHAYO,NYAKISHANA,-0.422754,30.3680617,BUHWEJU
RUZINGA-1,KATONGO,ENGAJU,-0.2980534,30.38349,BUHWEJU
RWEIBARE-1,RUKIRI,BIHANGA,-0.23791,30.3463068,BUHWEJU
RWEIBARE-2,RUKIRI,BIHANGA,-0.2933209,30.3291405,BUHWEJU
RWEIBARE-3,RUKIRI,BIHANGA,-0.2838153,30.3531014,BUHWEJU
RWOMUSHOJWA-1,KASHENYI,RWENGWE,-0.3149829,30.3960114,BUHWEJU
BULEEGA-1,NAMATOVU,NAJJA,0.2986511,33.0614331,BUIKWE
KIKWANYA A-1,KABIZZI,NYENGA DIVISION,0.3373868,33.1457665,BUIKWE
KITOOLA-1,NSAKYA,NAJJEMBE DIVISION,0.4613996,33.0192978,BUIKWE
LUKAAGA-1,KKONKO,WAKISI DIVISION,0.440914,33.1233786,BUIKWE
MASEKE-1,KIKWAYI,NGOGWE,0.2147854,32.93031,BUIKWE
MAWOLOBA-1,NAMULESA,NGOGWE,0.2520331,32.98798,BUIKWE
MPUKU-1,BBINGA,SSI BUKUNJA,0.1662336,32.94102,BUIKWE
NAMA HILL-1,KITEZA,KAWOLO DIVISION,0.3341235,32.9613437,BUIKWE
NAMALIRI-1,MULAJJE,NKOKONJERU TOWN COUNCIL,0.2571188,32.90973,BUIKWE
NAMBETA-1,ZZITWE,SSI BUKUNJA,0.117347,32.9728821,BUIKWE
KANGOLE-1,KANGOLE,MALERA,1.5460606,34.1516342,BUKEDEA
KOTIOKOT-1,KOTIOKOT,MALERA,1.3967286,34.1481808,BUKEDEA
BITETEERO-1,MITIGYEERA,KITANDA,-0.1064216,31.5737165,BUKOMANSIMBI
BUKAANA-1,BUTALAGA,BIGASA,-0.052154,31.6734739,BUKOMANSIMBI
BUWENDA-1,KISIITA,BUTENGA,-0.2494908,31.6727693,BUKOMANSIMBI
BUWENDA-2,KISIITA,BUTENGA,-0.2431435,31.6652959,BUKOMANSIMBI
KAWAALA-1,KASSEBWERA,BUTENGA,-0.1928084,31.5706454,BUKOMANSIMBI
KYAMAGOMA-1,KISOJJO,KIBINGE,-0.269756,31.688234,BUKOMANSIMBI
KYANSI-1,KYANKOOLE,BUTENGA,-0.2124873,31.6539277,BUKOMANSIMBI
KYEGULUSO-1,KIREMBEKO,BUKOMANSIMBI TOWN COUNCIL,-0.1657644,31.6110548,BUKOMANSIMBI
MISENYI A-1,MAKUKUULU,KITANDA,-0.0721881,31.5882374,BUKOMANSIMBI
MISENYI A-2,MAKUKUULU,KITANDA,-0.0638349,31.588344,BUKOMANSIMBI
MISENYI A-3,MAKUKUULU,KITANDA,-0.0523396,31.6013087,BUKOMANSIMBI
MISENYI A-4,MAKUKUULU,KITANDA,-0.0253203,31.558032,BUKOMANSIMBI
MUKUNYU-1,KAWOKO,BUTENGA,-0.1919281,31.6885659,BUKOMANSIMBI
NANFABIRYE-1,KIGANGAZZI,BIGASA,-0.018165,31.691534,BUKOMANSIMBI
SEKAMITUMBA-1,NDEEBA,KITANDA,-0.1702484,31.5559397,BUKOMANSIMBI
BERKEYA-1,BURKEYWO,TULEL,1.35917,34.68342,BUKWO
BUMATET-1,CHEBOI,BUKWO,1.266292,34.72247,BUKWO
BURIRWOK-1,KAPTERERWA,KAPTERERWO,1.253857,34.799,BUKWO
ELGON NATIONAL PARK-1,ELGON NATIONAL PARK,SUAM,1.131012,34.56803,BUKWO
KAWUSWO-1,CHEKWIR,TULEL,1.381223,34.7093,BUKWO
KITAW-1,BRIM,RIWO,1.334384,34.75308,BUKWO
KOTIPCHEKWOROT-1,MUIMET,BUKWO,1.299294,34.77421,BUKWO
KULWAL-1,KAPCHEMOGEN,RIWO,1.355527,34.73994,BUKWO
RWANDOI-1,CHESIMAT,KORTEK,1.281095,34.67136,BUKWO
TOROKYO-1,KAPKWENO,SUAM,1.239349,34.75136,BUKWO
BUMUYONGA-1,BUWEBERE,BUNAMBUTYE,1.488033,34.41637,BULAMBULI
BUMWALYE-1,BUSHANGI,BUNAMBUTYE,1.457395,34.31855,BULAMBULI
BUMWALYE-2,BUSHANGI,BUNAMBUTYE,1.526873,34.25184,BULAMBULI
BUSANO A-1,BUMUSAMALI,BUKHALU,1.269753,34.26087,BULAMBULI
BUSIU-1,BUNANGAKHA,NABONGO,1.381155,34.29499,BULAMBULI
BUWALA-1,BUMUFUNI,BUNAMBUTYE,1.522445,34.37342,BULAMBULI
BUWESONGA-1,SIMU,BUKHALU,1.323146,34.27363,BULAMBULI
COASTA-1,MABONA,SISIYI,1.273691,34.33451,BULAMBULI
LUGUTA-1,BUGIMWERA,BUMASOBO,1.149835,34.49913,BULAMBULI
NANYOLOLO-1,NATABA,BULUGANYA,1.224755,34.38168,BULAMBULI
BUDONGO FR-1,BUSINGIRO,BIISO,1.7731142,31.4788827,BULIISA
KAYIRA-1,BUBWE,BIISO,1.7986997,31.4505018,BULIISA
KIBAMBURA-1,NGWEDO,NGWEDO,2.1607663,31.4403315,BULIISA
KIRAMA-1,KIRAMA,KIGWERA,2.1910045,31.4267869,BULIISA
SONSIO-1,WALUKUBA,BUTIABA,1.8735593,31.4056932,BULIISA
SONSIO-2,WALUKUBA,BUTIABA,1.8291323,31.4024502,BULIISA
WAIGA-1,BUGANA,BULIISA,1.9326555,31.4332377,BULIISA
WAIGA-2,BUGANA,BULIISA,1.9828168,31.5503078,BULIISA
WAIGA-3,BUGANA,BULIISA,2.0013627,31.473614,BULIISA
WAISOKE-1,BUGOIGO,BUTIABA,1.8846774,31.4687684,BULIISA
BIHYA I -1,KAKUKA,SINDILA,0.5707562,29.9937,BUNDIBUGYO
BITAHURA-1,NYABUGESERA,NTANDI TOWN COUNCIL,0.793819,30.14855,BUNDIBUGYO
BUBUKWANGA CENTRAL-1,BUBUKWANGA,BUBUKWANGA,0.7828115,30.06094,BUNDIBUGYO
BUBULONGU I-1,NTORORO,NTOTORO,0.7934552,30.12562,BUNDIBUGYO
BUGHARAMA I-1,BUNDIBUTURO,KIRUMYA,0.7401431,30.08888,BUNDIBUGYO
BUGOMBWA CENTRAL-1,BUGOMBWA ,BUSARU,0.6969251,30.05555,BUNDIBUGYO
BUHUNDU I-1,KANYANSIRI,NTOTORO,0.7822875,30.10604,BUNDIBUGYO
BUKANGAMA II-1,BUKANGAMA,BUKONZO,0.6989404,30.10058,BUNDIBUGYO
BUMBILI-1,KIKYO,NGAMBA,0.7391329,30.13962,BUNDIBUGYO
BUNDIBAKEREKE-1,HAKITARA,KISUBBA,0.706752,30.0253,BUNDIBUGYO
BUNDIJONGYA -1,MUTUNDA,NDUGUTO,0.623003,29.98197,BUNDIBUGYO
BUNDIKAKEMBA III-1,BUNDIMULINGA,NYAHUKA TOWN COUNCIL,0.6813562,29.99388,BUNDIBUGYO
BUSIGHA -1,KASANZI,NDUGUTO,0.6292762,30.028,BUNDIBUGYO
ISURA I-1,KATWAKAL,KASITU,0.8235269,30.18369,BUNDIBUGYO
NGUNGHO-1,BUPOMBOLI,HARUGALE,0.6637952,30.08861,BUNDIBUGYO
BUGUNGU-1,KABALE,KIBIITO,0.4448095,30.17349,BUNYANGABU
BUKARA-1,EAST,KIBIITO TOWN COUNCIL,0.4876704,30.20276,BUNYANGABU
BULEMEZI-1,BUNAIGA,KATEBWA,0.5474311,30.09118,BUNYANGABU
BULYAMBAGHU-1,BUKARA,KABONERO,0.4651532,30.03184,BUNYANGABU
BULYAMBAGHU-2,BUKARA,KABONERO,0.4309517,29.99386,BUNYANGABU
BULYAMBAGHU-3,BUKARA,KABONERO,0.481902,30.07682,BUNYANGABU
BULYAMBAGHU-4,BUKARA,KABONERO,0.4859108,30.03824,BUNYANGABU
BULYAMBAGHU-5,BUKARA,KABONERO,0.485913,30.06088,BUNYANGABU
BULYAMBAGHU-6,BUKARA,KABONERO,0.4908109,30.11009,BUNYANGABU
BULYAMBAGHU-7,BUKARA,KABONERO,0.4628081,30.00748,BUNYANGABU
BULYAMBAGHU-8,BUKARA,KABONERO,0.439528,30.01966,BUNYANGABU
KATEEBWA I-1,KATEEBWA,KATEBWA,0.515235,30.13325,BUNYANGABU
KIBATE-1,NSUURA,KYAMUKUBE TOWN COUNCIL,0.571205,30.13926,BUNYANGABU
KITUMBA II-1,KICUUCU,KISOMORO,0.5099818,30.16549,BUNYANGABU
LYENGUMBA-1,KIYOMBYA,BUHEESI,0.5382483,30.23839,BUNYANGABU
MUJUNJU CENTRAL-1,MUJUNJU,KIBIITO,0.4654883,30.24115,BUNYANGABU
NYAMISEKE I-1,NYAMISEKE,BUHEESI,0.5037423,30.2405,BUNYANGABU
RUBALIKA A-1,KAKOGA,RWIMI,0.3707631,30.26628,BUNYANGABU
RUBALIKA II A-1,KADINDIMO,RWIMI,0.4049354,30.25687,BUNYANGABU
RWIMI CENTRE B-1,CENTRAL,RWIMI TOWN COUNCIL,0.3536742,30.23615,BUNYANGABU
KABATUURA-1,NYARUGOOTE,NYABUBAARE,-0.5136513,30.0426331,BUSHENYI
KALINZU FOREST-1,KALINZU FOREST,NYABUBAARE,-0.403558,30.0357004,BUSHENYI
KALINZU FOREST-2,KALINZU FOREST,NYABUBAARE,-0.391805,30.0305073,BUSHENYI
KAYENGO-1,NGORORA,BITOOMA,-0.4466874,30.1791761,BUSHENYI
KYAMBURA-1,RWAJERE,BURERE,-0.3652401,30.2457978,BUSHENYI
NSHUGASHUGI-1,MASHONGA,KYAMUHUNGA TOWN COUNCIL,-0.3612496,30.0678816,BUSHENYI
NYABIKYERERE-1,RYAMABENGWA,CENTRAL DIVISION,-0.5332751,30.1580881,BUSHENYI
NYABITOTE II-1,NYABUBAARE,NYABUBAARE,-0.5428524,30.082391,BUSHENYI
RYAMIZINGO-1,RUSHINYA,KAKANJU,-0.4995371,30.1667009,BUSHENYI
RYEISHE-1,RYEISHE,IBAARE,-0.5988421,30.1407533,BUSHENYI
ACHILET-1,AMONIKAKINEI,BUTEBA,0.561592,34.067905,BUSIA
AGORIATA-1,MAWERO,BUTEBA,0.477861,34.101408,BUSIA
BUBWIBO-1,MASAFU,MASAFU,0.404998,34.0175646,BUSIA
BUBWIBO-2,MASAFU,MASAFU,0.4139147,34.032365,BUSIA
BUCHWERE-1,JINJA,LUMINO,0.3104539,33.9843394,BUSIA
BUDEBANI-1,MASABA,MASABA,0.3620248,33.937961,BUSIA
BUGENGI-1,BUSIABALA,LUNYO,0.3306937,33.9052945,BUSIA
BUKOBE EAST-1,KUBO,MASAFU,0.4397363,33.9507667,BUSIA
BUMIRAMBAKO-1,BUWEMBE,BUYANGA,0.4676618,33.9856669,BUSIA
KAYORO B-1,BUTEBA,BUTEBA,0.5664399,34.1226429,BUSIA
BUDOBA-1,BUSABA,BUSABA,0.8772346,33.8367554,BUTALEJA
NYAWERA-1,LUJEHE,BUTALEJA TOWN COUNCIL,0.9003794,33.9677837,BUTALEJA
GOMBE HOSPITAL-1,GOMBE,GOMBE TOWN COUNCIL,0.1725923,32.12218,BUTAMBALA
GOMBE HOSPITAL-2,GOMBE,GOMBE TOWN COUNCIL,0.172194,32.13018,BUTAMBALA
KYANGOMA-1,NTOLOMWE WARD,GOMBE TOWN COUNCIL,0.162375,32.12684,BUTAMBALA
LWAMASAKA-1,BUKESA,NGANDO,0.085204,31.897579,BUTAMBALA
TTABA LUZINGA-1,KITIMBA,KALAMBA,0.2805568,32.2754587,BUTAMBALA
KOTORONGO-1,KITOIKAWONONI,KANGINIMA,1.195486,33.9910877,BUTEBO
ODUKURO-1,OKARACHA,OPWATETA,1.2237271,33.8206688,BUTEBO
OMATAKOJO-1,KIBALE,KIBALE,1.2095165,33.7651216,BUTEBO
OMATAKOJO-2,KIBALE,KIBALE,1.2318933,33.759201,BUTEBO
TIIRA I-1,PUTTI,KABWANGASI,1.1421519,34.0919722,BUTEBO
